Column1;dissimilarity_0;dissimilarity_45;dissimilarity_90;dissimilarity_135;correlation_0;correlation_45;correlation_90;correlation_135;homogeneity_0;homogeneity_45;homogeneity_90;homogeneity_135;contrast_0;contrast_45;contrast_90;contrast_135;ASM_0;ASM_45;ASM_90;ASM_135;energy_0;energy_45;energy_90;energy_135;label
43;6,87719E+16;7,59067E+15;6,91629E+15;7,174E+15;8,30507E+15;8,00365E+15;8,34893E+14;8,17901E+15;1,6039E+14;1,42543E+15;1,55427E+15;1,52269E+16;8,95419E+15;1,05816E+16;8,91371E+14;9,62054E+15;8,91292E+15;7,93127E+14;8,6851E+14;8,68744E+15;2,98545E+15;2,81625E+16;2,94705E+16;2,94745E+16;basal
44;6,42161E+15;7,24442E+15;6,82314E+13;7,02714E+16;8,40683E+15;8,04322E+15;8,29571E+15;8,10103E+15;2,00804E+16;1,71123E+16;1,9152E+16;1,87243E+15;1,02339E+16;1,32067E+16;1,21964E+16;1,27886E+16;1,71748E+16;1,56058E+16;1,73051E+16;1,63325E+16;4,14425E+16;3,95041E+16;4,15994E+16;4,04135E+16;basal
45;5,92E+15;6,2679E+15;6,08614E+15;6,33671E+15;7,76568E+15;7,48849E+15;7,64026E+15;7,40649E+15;1,98564E+16;1,92599E+16;1,98885E+16;1,9087E+16;8,51742E+15;9,75499E+15;9,41699E+15;1,00777E+16;1,52796E+16;1,47484E+16;1,47732E+15;1,44052E+16;3,90892E+15;3,84037E+15;3,84359E+16;3,79542E+16;basal
46;9,56421E+15;1,05622E+16;1,03349E+15;1,03822E+16;7,6339E+15;7,24412E+13;7,31915E+15;7,36284E+15;1,16773E+16;1,02688E+16;1,03315E+16;1,06966E+16;1,78508E+15;2,08825E+16;2,00446E+15;2,00252E+16;6,37321E+15;5,74983E+14;5,92041E+15;5,88264E+15;2,52452E+16;2,39788E+15;2,43319E+15;2,42542E+16;basal
47;5,57053E+15;5,9086E+15;5,69343E+15;5,90229E+15;7,29908E+15;7,10189E+15;6,92069E+15;6,72983E+15;1,86414E+16;1,7906E+16;1,94817E+16;1,80186E+15;6,54088E+15;7,13746E+15;7,65757E+15;8,04096E+15;1,62509E+14;1,54053E+15;1,61717E+16;1,59891E+16;4,03124E+15;3,92495E+16;4,02141E+16;3,99864E+15;basal
48;5,79509E+15;6,32746E+16;6,21557E+14;6,44645E+16;8,61961E+15;8,25305E+15;8,29392E+15;8,26171E+15;1,86089E+16;1,74637E+16;1,76163E+16;1,70887E+16;6,70571E+15;8,51194E+15;8,27364E+15;8,49497E+15;1,04809E+16;1,00573E+16;9,90122E+15;9,49656E+15;3,23742E+15;3,17132E+15;3,14662E+15;3,08165E+16;basal
49;6,35312E+16;6,60138E+15;5,92014E+15;6,48019E+14;7,33259E+15;7,06964E+15;7,60163E+15;7,06203E+14;1,72318E+16;1,65758E+16;1,81481E+16;1,74598E+16;8,28084E+15;8,98702E+15;7,41676E+15;9,09004E+15;1,26031E+16;1,21047E+15;1,3653E+15;1,31464E+15;3,55009E+16;3,47919E+15;3,69499E+16;3,6258E+16;basal
50;6,64814E+15;7,60065E+15;7,32414E+15;7,57629E+15;8,19645E+15;7,66419E+15;7,91978E+15;7,86198E+15;1,64557E+16;1,45047E+16;1,51454E+16;1,38873E+16;8,92867E+15;1,12501E+16;9,86359E+15;1,03187E+16;9,64885E+15;8,70951E+15;9,00571E+15;8,49103E+15;3,10626E+15;2,95119E+16;3,00095E+15;2,91394E+15;basal
51;7,38063E+15;7,40625E+15;6,87657E+15;7,62089E+15;7,93585E+15;7,95622E+13;8,29732E+15;7,79114E+15;1,42073E+16;1,44875E+14;1,53621E+16;1,40837E+16;1,01972E+16;1,00998E+16;8,80791E+15;1,10515E+15;1,01348E+15;1,02135E+16;1,04289E+16;9,95515E+15;3,18352E+15;3,19585E+16;3,22938E+16;3,15518E+15;basal
52;6,92926E+15;7,4064E+15;7,13629E+16;7,63703E+15;7,46372E+15;7,14784E+15;7,4034E+15;7,05967E+13;1,59958E+15;1,57007E+16;1,62555E+16;1,48974E+16;9,52799E+15;1,07611E+16;9,74494E+15;1,10571E+16;1,12122E+16;1,04137E+16;1,08086E+16;1,02393E+16;3,34846E+15;3,22703E+16;3,28764E+16;3,19989E+15;basal
53;8,8014E+15;9,51467E+14;8,05057E+15;8,82482E+15;7,6451E+15;7,36753E+15;8,04682E+15;7,65575E+15;1,11626E+16;1,04599E+16;1,20508E+16;1,13061E+14;1,27493E+15;1,44538E+16;1,07917E+16;1,27847E+16;6,22813E+15;5,97821E+15;6,66429E+15;6,19217E+15;2,49562E+16;2,44504E+16;2,58153E+16;2,48841E+16;basal
54;7,1447E+15;7,63938E+15;7,06129E+15;7,78008E+15;6,93654E+15;6,57953E+15;7,06606E+15;6,48385E+15;1,65613E+16;1,60322E+16;1,70942E+16;1,54454E+16;1,16479E+16;1,32249E+16;1,15778E+16;1,36299E+16;1,25709E+16;1,16955E+16;1,24521E+16;1,15766E+16;3,54555E+14;3,41988E+16;3,52876E+14;3,40244E+15;basal
55;7,42849E+15;7,7767E+15;7,09843E+15;8,19982E+15;8,17994E+15;7,91258E+15;8,12532E+15;7,72934E+14;1,52759E+16;1,46379E+16;1,61148E+16;1,42227E+16;1,04643E+16;1,22761E+15;1,10363E+16;1,33743E+15;1,2111E+16;1,14248E+16;1,27378E+16;1,16959E+15;3,48009E+15;3,38005E+15;3,569E+14;3,41992E+15;basal
56;6,85726E+16;6,73386E+16;6,45157E+15;7,23313E+15;7,96021E+15;7,89202E+15;8,13797E+15;7,6588E+15;1,42203E+16;1,52253E+16;1,56815E+16;1,31803E+16;8,14933E+15;8,20408E+15;7,59959E+15;9,17686E+15;1,01163E+16;1,08707E+16;1,09699E+16;1,0162E+13;3,18061E+15;3,29708E+16;3,31208E+15;3,18779E+15;basal
57;6,65993E+16;6,83495E+15;6,10843E+16;6,78609E+15;8,02587E+15;7,80665E+15;8,26885E+15;7,91601E+15;1,43176E+16;1,49038E+15;1,68225E+16;1,46735E+16;7,48435E+15;8,30629E+15;6,77884E+15;7,90783E+15;9,07189E+15;9,06445E+15;9,97204E+14;9,22535E+15;3,01196E+16;3,01072E+15;3,15785E+15;3,03733E+16;basal
